,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(Last 3 hours),Snow inches (Last 3 hours)
52,Kaitangata,NZ,2020-02-22 17:03:59,-46.28,169.85,51.01,71,59,4.0,broken clouds,0.0,0.0
53,Zhezkazgan,KZ,2020-02-22 17:03:59,47.8,67.71,16.75,93,100,7.85,overcast clouds,0.0,0.0
54,Mahaicony,KZ,2020-02-22 17:03:59,47.8,67.71,16.75,93,100,7.85,overcast clouds,0.0,0.0
55,Kahului,US,2020-02-22 17:01:59,20.89,-156.47,68.0,82,40,3.36,scattered clouds,0.0,0.0
56,Astoria,US,2020-02-22 16:59:44,46.19,-123.83,46.0,93,90,5.82,overcast clouds,0.0,0.0
57,Luorong,CN,2020-02-22 17:04:00,24.41,109.61,61.81,82,14,3.83,few clouds,0.0,0.0
58,Maneromango,TZ,2020-02-22 17:04:00,-7.2,38.78,86.0,74,75,13.87,broken clouds,0.0,0.0
59,Kirksville,US,2020-02-22 17:02:36,40.19,-92.58,44.01,44,1,13.87,clear sky,0.0,0.0
60,Tiruvottiyur,US,2020-02-22 17:02:36,40.19,-92.58,44.01,44,1,13.87,clear sky,0.0,0.0
61,Jamestown,US,2020-02-22 17:04:00,42.1,-79.24,37.99,54,1,16.11,clear sky,0.0,0.0
62,Balabac,PH,2020-02-22 17:04:01,7.99,117.06,79.86,77,17,20.33,few clouds,0.0,0.0
63,Komsomolskiy,UZ,2020-02-22 17:04:01,40.43,71.72,44.6,65,96,4.7,mist,0.0,0.0
64,Tubruq,UZ,2020-02-22 17:04:01,40.43,71.72,44.6,65,96,4.7,mist,0.0,0.0
65,Saint George,US,2020-02-22 17:04:01,37.1,-113.58,55.99,35,40,13.87,scattered clouds,0.0,0.0
66,Novikovo,RU,2020-02-22 17:04:01,51.15,37.89,29.75,98,78,4.72,broken clouds,0.0,0.0
67,Sembe,CG,2020-02-22 17:04:02,1.65,14.58,77.67,61,97,1.97,overcast clouds,0.0,0.0
68,Busselton,AU,2020-02-22 17:04:02,-33.65,115.33,68.0,62,3,9.4,clear sky,0.0,0.0
69,Avera,US,2020-02-22 17:04:02,33.19,-82.53,48.0,36,1,3.29,clear sky,0.0,0.0
70,Sembabule,UG,2020-02-22 17:04:02,-0.08,31.46,73.0,64,83,4.74,broken clouds,0.0,0.0
71,Thompson,CA,2020-02-22 17:04:02,55.74,-97.86,10.4,78,20,3.36,few clouds,0.0,0.0
72,Reconquista,AR,2020-02-22 17:04:03,-29.15,-59.65,80.8,24,7,8.37,clear sky,0.0,0.0
73,Murwara,IN,2020-02-22 17:04:03,23.85,80.4,67.71,54,13,6.22,few clouds,0.0,0.0
74,Kyabe,TD,2020-02-22 17:04:03,9.45,18.94,89.85,14,0,5.17,clear sky,0.0,0.0
75,Igarka,RU,2020-02-22 17:04:03,67.47,86.58,4.48,91,84,8.84,broken clouds,0.0,0.0
76,Asau,RO,2020-02-22 17:04:03,46.43,26.4,36.0,78,40,2.24,scattered clouds,0.0,0.0
77,Karauzyak,RO,2020-02-22 17:04:03,46.43,26.4,36.0,78,40,2.24,scattered clouds,0.0,0.0
78,Roma,US,2020-02-22 17:04:04,43.21,-75.46,37.0,87,90,11.41,overcast clouds,0.0,0.0
79,Dingle,PH,2020-02-22 17:04:04,11.0,122.67,70.88,92,3,12.06,light rain,0.19,0.0
80,Yavas,RU,2020-02-22 17:04:04,54.42,42.85,30.16,87,94,9.86,overcast clouds,0.0,0.0
81,Puerto Escondido,MX,2020-02-22 17:04:04,15.85,-97.07,84.2,70,5,8.05,clear sky,0.0,0.0
82,Ayer Itam,MX,2020-02-22 17:04:04,15.85,-97.07,84.2,70,5,8.05,clear sky,0.0,0.0
83,Vardo,NO,2020-02-22 17:04:05,70.37,31.11,35.4,79,86,33.87,overcast clouds,0.0,0.0
84,Tshikapa,CD,2020-02-22 17:04:05,-6.42,20.8,77.77,83,100,0.38,light rain,0.44,0.0
85,Porto Novo,BJ,2020-02-22 17:01:54,6.5,2.6,89.6,75,20,13.87,few clouds,0.0,0.0
86,Rapar,IN,2020-02-22 17:04:05,23.57,70.63,74.7,31,0,9.55,clear sky,0.0,0.0
87,Chany,RU,2020-02-22 17:04:06,55.31,76.76,25.9,96,100,6.42,light snow,0.0,0.13
88,Qui Nhon,VN,2020-02-22 17:04:05,13.77,109.23,65.52,93,2,4.7,light rain,0.56,0.0
89,Topeka,US,2020-02-22 17:04:05,39.05,-95.68,46.0,52,1,14.99,clear sky,0.0,0.0
90,Sorong,ID,2020-02-22 17:03:43,-0.88,131.25,75.04,96,100,3.8,overcast clouds,0.0,0.0
91,Ocos,GT,2020-02-22 17:04:06,14.51,-92.19,86.0,55,20,12.59,few clouds,0.0,0.0
92,Atar,MR,2020-02-22 17:04:07,20.52,-13.05,93.81,7,74,11.56,broken clouds,0.0,0.0
93,Mutsamudu,MR,2020-02-22 17:04:07,20.52,-13.05,93.81,7,74,11.56,broken clouds,0.0,0.0
94,Loandjili,CG,2020-02-22 17:04:07,-4.76,11.86,86.0,84,75,9.17,broken clouds,0.0,0.0
95,Dunedin,NZ,2020-02-22 17:04:07,-45.87,170.5,53.01,67,50,7.05,scattered clouds,0.0,0.0
96,Mutoko,ZW,2020-02-22 17:04:07,-17.4,32.23,70.79,89,69,3.0,light rain,0.38,0.0
97,Geraldton,AU,2020-02-22 17:04:08,-28.77,114.6,73.4,83,90,4.7,overcast clouds,0.0,0.0
98,Takoradi,GH,2020-02-22 17:04:08,4.88,-1.76,81.86,81,100,7.83,light rain,0.25,0.0
99,Tombouctou,ML,2020-02-22 17:04:08,20.0,-3.0,85.66,8,76,5.86,broken clouds,0.0,0.0
100,Jalu,LY,2020-02-22 17:04:08,29.03,21.55,58.08,49,0,10.42,clear sky,0.0,0.0
101,Bahia Blanca,AR,2020-02-22 17:04:08,-38.72,-62.27,77.67,16,0,4.94,clear sky,0.0,0.0
102,Abu Samrah,SY,2020-02-22 17:04:09,35.3,37.18,50.85,82,33,8.68,light rain,0.31,0.0
103,Sai Buri,TH,2020-02-22 17:04:09,6.7,101.62,72.45,96,59,4.38,light rain,1.38,0.0
104,Praia Da Vitoria,PT,2020-02-22 17:04:09,38.73,-27.07,64.4,63,40,4.29,scattered clouds,0.0,0.0
105,Mataura,NZ,2020-02-22 17:04:09,-46.19,168.86,51.01,77,39,4.0,scattered clouds,0.0,0.0
106,Chitungwiza,ZW,2020-02-22 17:04:09,-18.01,31.08,69.76,85,99,1.16,light rain,1.12,0.0
107,Meulaboh,ID,2020-02-22 17:04:10,4.14,96.13,83.05,72,62,7.4,light rain,1.0,0.0
108,Dakar,SN,2020-02-22 17:03:39,14.69,-17.44,82.4,51,66,16.11,broken clouds,0.0,0.0
109,Alotau,SN,2020-02-22 17:03:39,14.69,-17.44,82.4,51,66,16.11,broken clouds,0.0,0.0
110,Rio Gallegos,AR,2020-02-22 17:04:10,-51.62,-69.22,75.2,36,66,14.99,broken clouds,0.0,0.0
111,Olafsvik,IS,2020-02-22 17:04:10,64.89,-23.71,29.07,70,99,8.55,overcast clouds,0.0,0.0
112,Rocha,UY,2020-02-22 17:04:11,-34.48,-54.33,69.73,46,92,9.89,overcast clouds,0.0,0.0
113,Iralaya,HN,2020-02-22 17:04:11,15.0,-83.23,79.66,77,18,16.75,light rain,1.75,0.0
114,Isangel,VU,2020-02-22 17:04:11,-19.55,169.27,78.15,80,42,14.54,scattered clouds,0.0,0.0
115,Kuching,MY,2020-02-22 17:04:11,1.55,110.33,77.0,100,40,1.12,light rain,0.0,0.0
