,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,Tres Arroyos,AR,80.82,clear sky,-38.37,-60.28,Habitacion Triple con baño y entrada privada
326,Bubaque,GW,78.76,scattered clouds,11.28,-15.83,Casa Dora
336,Santiago,CL,82.99,clear sky,-33.46,-70.65,Hotel Panamericano
337,Karasburg,,85.48,clear sky,-28.02,18.75,Hoon's Selfcatering
344,Cayenne,GF,87.8,broken clouds,4.93,-52.33,Hôtel Le Dronmi
349,Mahalapye,BW,84.42,broken clouds,-23.1,26.81,Cresta Mahalapye
357,Oranjestad,AW,78.8,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
364,Kloulklubed,PW,78.8,overcast clouds,7.04,134.26,Storyboard Beach Resort
373,Viedma,AR,81.37,clear sky,-40.81,-63.0,Hotel casa crespo
374,Vaitupu,AR,81.37,clear sky,-40.81,-63.0,Hotel casa crespo
379,Warri,NG,86.81,few clouds,5.52,5.75,BON Hotel Delta
385,Pisco,PE,78.01,broken clouds,-13.7,-76.22,Hostal San Isidro Oficial
386,Yulara,AU,78.8,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
390,San Cristobal,VE,78.8,broken clouds,7.77,-72.22,Pirineos
391,Attawapiskat,VE,78.8,broken clouds,7.77,-72.22,Pirineos
404,Bilma,NE,75.04,broken clouds,18.69,12.92,Expeditions Ténére voyages
405,Karratha,AU,80.98,clear sky,-20.74,116.85,ibis Styles Karratha
412,Vao,NC,78.62,clear sky,-22.67,167.48,Hotel Kou-Bugny
417,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
419,Ancud,CL,78.8,clear sky,-41.87,-73.82,HOTEL ANCUD DON LUCAS
421,San Luis,AR,79.92,broken clouds,-33.3,-66.34,Huarpes Hotel
429,Port Hedland,AU,80.6,scattered clouds,-20.32,118.57,The Esplanade Hotel
431,Ituporanga,BR,84.0,clear sky,-27.41,-49.6,Hotel Jacaré
436,Bartica,GY,87.8,broken clouds,6.4,-58.62,La Vista Hotel and Apartment
437,Yeppoon,AU,78.8,light intensity shower rain,-23.13,150.73,Villa Mar Colina
439,Hambantota,LK,77.0,broken clouds,6.12,81.12,Bungalow 63
441,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
445,Cap Malheureux,MU,80.6,broken clouds,-19.98,57.61,Pereybere Hotel & Spa
449,Lazaro Cardenas,MX,88.52,clear sky,17.96,-102.2,Hotel Quinta Antigua
455,Samarai,PG,77.65,overcast clouds,-10.62,150.67,Nuli Sapi
456,Amderma,PG,77.65,overcast clouds,-10.62,150.67,Nuli Sapi
459,Road Town,VG,84.0,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
460,Tuggurt,VG,84.0,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
479,Inhambane,MZ,84.2,scattered clouds,-23.86,35.38,MHL Turismo SA
480,Puerto Ayora,EC,80.6,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
488,Gizo,SB,76.87,few clouds,-8.1,156.84,Imagination Island
489,Saposoa,PE,77.0,overcast clouds,-6.93,-76.77,Hostal Primavera
490,Necochea,AR,75.0,clear sky,-38.55,-58.74,dyd -mar Hotel
493,Butaritari,KI,83.35,overcast clouds,3.07,172.79,Isles Sunset Lodge
501,Quatre Cocos,MU,80.6,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
526,Sao Miguel Do Araguaia,BR,84.65,overcast clouds,-13.28,-50.16,Hotel Executivo Palace
527,Arraial Do Cabo,BR,78.8,broken clouds,-22.97,-42.03,Pousada Porto Praia
535,Ca Mau,VN,77.45,clear sky,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
542,Kununurra,AU,77.0,broken clouds,-15.77,128.73,Hotel Kununurra
543,Manzanillo,CU,88.97,clear sky,20.34,-77.12,Adrian & Tonia
551,Comodoro Rivadavia,AR,80.6,clear sky,-45.87,-67.5,Austral Hotel
557,Altagracia De Orituco,VE,85.21,overcast clouds,9.86,-66.38,Posada Quinta Mi Refugio
563,Dawei,MM,80.71,clear sky,14.08,98.2,Hotel Dawei
565,Arlit,NE,80.26,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
572,Saint-Georges,GD,82.4,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
579,Lamu,KE,81.64,overcast clouds,-2.27,40.9,Lamu House
